Município,codmun,UF,idsus_fx,Grupo Homogêneo
Arame,210095,MA,"4 a 4,9",GH4
Arari,210100,MA,"5 a 5,9",GH4
Axixá,210110,MA,"5 a 5,9",GH6
Bacabal,210120,MA,"4 a 4,9",GH4
Bacabeira,210125,MA,"5 a 5,9",GH6
Bacuri,210130,MA,"4 a 4,9",GH6
Bacurituba,210135,MA,"5 a 5,9",GH6
Balsas,210140,MA,"5 a 5,9",GH4
Barão de Grajaú,210150,MA,"5 a 5,9",GH6
Barra do Corda,210160,MA,"2,5 a 3,9",GH4
Barreirinhas,210170,MA,"4 a 4,9",GH4
Belágua,210173,MA,"4 a 4,9",GH6
Bela Vista do Maranhão,210177,MA,"4 a 4,9",GH6
Benedito Leite,210180,MA,"5 a 5,9",GH6
Bequimão,210190,MA,"4 a 4,9",GH6
Bernardo do Mearim,210193,MA,"4 a 4,9",GH6
Boa Vista do Gurupi,210197,MA,"4 a 4,9",GH6
Bom Jardim,210200,MA,"4 a 4,9",GH4
Bom Jesus das Selvas,210203,MA,"4 a 4,9",GH6
Bom Lugar,210207,MA,"4 a 4,9",GH6
Brejo,210210,MA,"2,5 a 3,9",GH4
Brejo de Areia,210215,MA,"5 a 5,9",GH6
Buriti,210220,MA,"4 a 4,9",GH4
Buriti Bravo,210230,MA,"4 a 4,9",GH4
Buriticupu,210232,MA,"4 a 4,9",GH4
Buritirana,210235,MA,"4 a 4,9",GH6
Cachoeira Grande,210237,MA,"4 a 4,9",GH6
Cajapió,210240,MA,"4 a 4,9",GH6
Cajari,210250,MA,"4 a 4,9",GH6
Campestre do Maranhão,210255,MA,"4 a 4,9",GH6
Cândido Mendes,210260,MA,"4 a 4,9",GH6
Cantanhede,210270,MA,"4 a 4,9",GH4
Capinzal do Norte,210275,MA,"5 a 5,9",GH6
Carolina,210280,MA,"5 a 5,9",GH4
Carutapera,210290,MA,"5 a 5,9",GH6
Caxias,210300,MA,"6 a 6,9",GH4
Cedral,210310,MA,"4 a 4,9",GH6
Central do Maranhão,210312,MA,"5 a 5,9",GH6
Centro do Guilherme,210315,MA,"4 a 4,9",GH6
